Timestamp,curr_ax,curr_roll_rate,curr_pitch_rate,curr_yaw_rate,curr_qw,curr_qx,curr_qy,curr_qz,ax_ref,p_ref,q_ref,r_ref,omega_L_ref,omega_R_ref,servo_L_ref,servo_R_ref,Temperature,Voltage,RPM2,RPM4
88533,-0.080,0.001,-0.001,0.001,0.527,0.426,-0.408,0.612,-0.200,0.009,-0.308,-0.049,4022,2840,53,-53,0,0.000,0,0
88632,0.480,0.002,-0.007,0.002,0.518,0.434,-0.414,0.610,-0.200,0.009,-0.284,-0.054,3661,1992,28,-28,0,0.000,0,0
88732,0.180,0.000,-0.011,0.002,0.503,0.450,-0.429,0.600,-0.200,0.009,-0.229,-0.062,3404,529,-1,1,0,0.000,0,0
88832,-0.070,-0.000,-0.010,0.002,0.486,0.467,-0.446,0.589,-0.200,0.008,-0.166,-0.071,3368,0,-12,12,0,0.000,305,305
88932,-0.080,-0.000,-0.005,0.000,0.475,0.478,-0.457,0.580,-0.200,0.007,-0.125,-0.076,3346,0,-3,3,0,0.000,305,305
89032,-0.160,0.001,-0.007,-0.000,0.465,0.490,-0.465,0.572,-0.200,0.006,-0.087,-0.076,3301,0,-7,7,0,0.000,305,305
89132,-0.290,0.001,-0.010,-0.000,0.451,0.507,-0.478,0.558,-0.200,0.004,-0.030,-0.075,3375,0,-27,27,0,0.000,305,305
89232,-0.520,-0.000,-0.018,-0.000,0.434,0.527,-0.494,0.539,-0.200,0.001,0.043,-0.075,3596,0,-51,51,0,0.000,305,305
89332,-0.400,-0.001,-0.012,-0.002,0.423,0.542,-0.506,0.521,-0.200,-0.001,0.100,-0.069,3723,0,-54,54,0,0.000,305,305
89432,-0.600,0.002,0.010,0.000,0.423,0.545,-0.505,0.519,-0.200,-0.002,0.104,-0.063,3888,802,-5,5,0,0.000,305,305
89532,-0.220,0.001,0.019,0.000,0.440,0.524,-0.486,0.544,-0.200,0.001,0.022,-0.068,4072,985,56,-56,0,0.000,305,305
89632,-0.160,-0.001,0.020,-0.002,0.469,0.494,-0.461,0.569,-0.200,0.004,-0.088,-0.061,3939,1219,95,-95,34,16.090,305,305
89732,0.090,0.000,0.021,-0.002,0.498,0.462,-0.431,0.594,-0.200,0.006,-0.203,-0.052,3754,1015,118,-118,34,16.090,305,305
89832,0.690,0.000,0.019,-0.001,0.522,0.431,-0.402,0.617,-0.200,0.008,-0.310,-0.044,3461,0,133,-134,34,16.090,305,305
89932,0.460,0.001,0.008,0.002,0.535,0.409,-0.381,0.634,-0.200,0.010,-0.383,-0.045,3079,0,120,-120,34,16.090,305,305
90032,0.940,0.001,-0.007,0.002,0.529,0.410,-0.383,0.637,-0.200,0.011,-0.378,-0.053,2721,0,71,-71,34,16.090,305,305
90132,0.330,0.001,-0.012,0.001,0.514,0.429,-0.399,0.627,-0.200,0.011,-0.317,-0.058,2762,0,30,-30,34,16.090,305,305
90232,0.250,-0.000,-0.014,0.001,0.497,0.451,-0.418,0.613,-0.200,0.010,-0.246,-0.063,2812,0,9,-9,34,16.090,305,305
90332,0.160,0.000,-0.015,0.000,0.482,0.471,-0.435,0.597,-0.200,0.008,-0.179,-0.065,2784,0,1,-1,34,16.080,305,305
90432,-0.060,0.000,-0.012,-0.000,0.467,0.491,-0.450,0.582,-0.200,0.005,-0.113,-0.064,2758,0,-3,3,34,16.080,305,305
90532,-0.110,-0.001,-0.003,-0.001,0.460,0.504,-0.460,0.569,-0.200,0.004,-0.069,-0.060,2684,0,13,-13,35,16.080,305,305
90632,0.030,-0.001,0.013,-0.001,0.469,0.496,-0.453,0.574,-0.200,0.004,-0.098,-0.055,2629,0,63,-63,35,16.080,305,305
90732,0.190,-0.001,0.015,-0.001,0.490,0.473,-0.433,0.590,-0.200,0.005,-0.178,-0.047,2532,0,106,-106,35,16.080,305,305
90832,0.290,-0.000,0.016,-0.000,0.506,0.454,-0.416,0.604,-0.200,0.006,-0.244,-0.042,2509,0,114,-114,35,16.080,305,305
90932,0.350,0.000,0.010,-0.000,0.522,0.431,-0.396,0.620,-0.200,0.007,-0.319,-0.041,2538,0,128,-128,35,16.080,305,305
91032,0.250,0.000,-0.002,0.001,0.526,0.424,-0.391,0.625,-0.200,0.008,-0.340,-0.042,2579,0,100,-100,34,16.070,305,305
91132,0.100,0.000,-0.015,0.001,0.515,0.439,-0.404,0.616,-0.200,0.008,-0.292,-0.045,2645,0,50,-50,34,16.070,305,305
91232,0.000,0.000,-0.018,0.001,0.489,0.470,-0.432,0.594,-0.200,0.006,-0.186,-0.054,2751,0,1,-1,34,16.070,305,305
91332,0.000,-0.001,-0.013,-0.001,0.471,0.494,-0.452,0.574,-0.200,0.004,-0.103,-0.053,2690,0,0,0,35,16.070,305,305
91432,-0.010,0.001,-0.008,0.001,0.456,0.514,-0.468,0.555,-0.200,0.002,-0.033,-0.051,2653,0,6,-6,35,16.070,305,305
91532,-0.280,0.001,-0.003,0.001,0.452,0.518,-0.473,0.551,-0.200,0.002,-0.016,-0.054,2713,0,28,-28,35,16.080,305,305
91632,-0.080,0.001,0.003,0.000,0.448,0.522,-0.478,0.546,-0.200,0.001,0.002,-0.055,2696,0,26,-26,35,16.080,305,305
91732,-0.060,0.000,0.012,-0.001,0.452,0.517,-0.471,0.553,-0.200,0.002,-0.022,-0.053,2660,0,68,-69,35,16.090,305,305
91832,-0.040,-0.002,0.015,-0.002,0.475,0.496,-0.454,0.568,-0.200,0.003,-0.105,-0.043,2492,0,109,-110,35,16.090,305,305
91932,0.060,-0.001,0.014,-0.002,0.499,0.473,-0.433,0.582,-0.200,0.003,-0.178,-0.032,2358,0,127,-127,35,16.090,305,305
92032,0.220,-0.000,0.008,0.001,0.513,0.457,-0.420,0.593,-0.200,0.004,-0.231,-0.028,2394,0,118,-118,35,16.090,305,305
92132,0.320,0.001,0.009,0.001,0.520,0.444,-0.409,0.604,-0.200,0.005,-0.273,-0.032,2514,0,123,-124,35,16.090,305,305
92232,0.400,0.001,0.009,0.001,0.525,0.433,-0.400,0.614,-0.200,0.006,-0.308,-0.035,2570,0,127,-127,35,16.090,305,305
92332,0.280,0.001,0.005,0.001,0.528,0.426,-0.392,0.622,-0.200,0.007,-0.334,-0.038,2590,0,123,-123,35,16.090,305,305
92432,0.250,0.000,0.005,-0.000,0.530,0.422,-0.389,0.625,-0.200,0.008,-0.348,-0.039,2574,0,124,-124,35,16.090,305,305
92532,0.220,0.000,0.002,0.000,0.531,0.419,-0.386,0.627,-0.200,0.008,-0.356,-0.038,2563,0,121,-121,35,16.090,305,305
92632,0.280,0.000,0.002,0.000,0.533,0.416,-0.384,0.629,-0.200,0.008,-0.365,-0.038,2546,0,125,-125,35,16.090,305,305
92732,0.350,0.000,0.002,-0.000,0.535,0.414,-0.381,0.630,-0.200,0.007,-0.374,-0.036,2521,0,130,-130,35,16.090,305,305
92832,0.370,-0.000,-0.000,-0.000,0.537,0.412,-0.380,0.630,-0.200,0.007,-0.378,-0.035,2519,0,131,-131,35,16.090,305,305
92932,0.120,0.000,-0.008,0.001,0.531,0.420,-0.388,0.625,-0.200,0.007,-0.352,-0.038,2573,0,107,-107,34,16.090,305,305
93032,-0.080,-0.000,-0.019,0.001,0.515,0.443,-0.409,0.609,-0.200,0.007,-0.276,-0.041,2618,0,63,-63,34,16.090,305,305
93132,-0.300,-0.001,-0.023,-0.001,0.493,0.476,-0.438,0.582,-0.200,0.004,-0.151,-0.040,2581,0,21,-21,34,16.090,305,305
93232,-0.630,0.001,-0.027,0.001,0.461,0.516,-0.474,0.545,-0.200,0.001,-0.019,-0.042,2916,0,-16,16,35,16.070,305,305
93332,-0.520,0.001,-0.025,0.001,0.420,0.555,-0.509,0.507,-0.200,-0.002,0.135,-0.049,3390,0,-44,44,35,16.070,305,305
93432,-0.300,0.001,-0.014,0.001,0.391,0.579,-0.529,0.482,-0.200,-0.005,0.232,-0.057,3606,0,-25,25,35,16.090,305,305
93532,-0.090,-0.000,-0.008,0.000,0.376,0.592,-0.540,0.466,-0.200,-0.007,0.286,-0.058,3554,0,-8,8,35,16.090,305,305
93632,-0.280,0.001,-0.006,0.001,0.363,0.601,-0.547,0.456,-0.200,-0.009,0.325,-0.063,3590,0,-4,4,35,16.090,305,305
93732,-0.330,-0.000,-0.007,-0.000,0.351,0.610,-0.555,0.444,-0.200,-0.010,0.367,-0.063,3643,0,-15,15,35,16.100,305,305
93832,-0.330,0.000,-0.003,-0.000,0.341,0.618,-0.561,0.433,-0.200,-0.011,0.402,-0.063,3785,0,-16,16,35,16.100,305,305
93932,-0.360,-0.000,-0.001,-0.000,0.338,0.620,-0.565,0.427,-0.200,-0.011,0.418,-0.062,3884,445,-14,14,35,16.110,305,305
94032,-0.260,-0.000,-0.000,-0.000,0.336,0.621,-0.570,0.420,-0.200,-0.012,0.432,-0.060,3922,895,-13,13,35,16.110,305,305
94132,-0.310,0.000,-0.000,0.001,0.334,0.622,-0.572,0.417,-0.200,-0.012,0.440,-0.061,3978,937,-17,17,35,16.110,305,305
94232,-0.310,0.000,-0.001,-0.000,0.333,0.622,-0.573,0.416,-0.200,-0.012,0.442,-0.062,4046,1171,-19,19,35,16.110,305,305
