Timestamp,r_ref,q_ref,curr_ax,curr_ay,curr_az,curr_mx,curr_my,curr_mz,curr_roll_rate,curr_pitch_rate,curr_yaw_rate,curr_qw,curr_qx,curr_qy,curr_qz,thrust_ref,p_ref,omega_L_ref,omega_R_ref,servo_L_ref,servo_R_ref,Temperature,Voltage,Current,RPM2,RPM4,Throttle2,Throttle4,ErrorCodes
66332,0.083,-0.395,0.000,0.000,0.000,0.000,0.000,0.000,0.379,0.061,0.000,0.611,-0.373,-0.543,-0.438,0.000,-0.001,0,1246,1,-21,0,0.000,0.000,0,0,0,0,0
66431,0.094,-0.366,0.000,0.000,0.000,0.000,0.000,0.000,0.354,-0.053,0.020,0.615,-0.364,-0.554,-0.426,0.000,-0.001,0,2151,-2,-16,0,0.000,0.000,0,0,0,0,0
66531,0.041,-0.257,0.000,0.000,0.000,0.000,0.000,0.000,0.354,-0.101,0.037,0.613,-0.369,-0.567,-0.408,0.000,-0.000,0,2834,-7,-12,0,0.000,0.000,0,0,0,0,0
66631,0.019,-0.195,0.000,0.000,0.000,0.000,0.000,0.000,0.418,-0.051,0.016,0.614,-0.366,-0.577,-0.394,0.000,-0.000,0,2529,-8,-16,0,0.000,0.000,305,305,0,0,0
66731,-0.016,-0.110,0.000,0.000,0.000,0.000,0.000,0.000,0.448,-0.057,-0.052,0.615,-0.364,-0.591,-0.375,0.000,0.000,0,2176,-11,-13,0,0.000,0.000,305,305,0,0,0
66831,-0.024,-0.045,0.000,0.000,0.000,0.000,0.000,0.000,0.549,-0.041,-0.136,0.616,-0.356,-0.605,-0.357,0.000,0.000,0,808,-15,-16,0,0.000,0.000,305,305,0,0,0
66931,0.002,-0.037,0.000,0.000,0.000,0.000,0.000,0.000,0.532,0.070,-0.071,0.622,-0.340,-0.615,-0.344,0.000,-0.000,0,2048,-11,-18,0,0.000,0.000,305,305,0,0,0
67031,-0.007,-0.035,0.000,0.000,0.000,0.000,0.000,0.000,0.519,0.087,-0.049,0.630,-0.328,-0.622,-0.331,0.000,-0.000,0,2160,-10,-18,0,0.000,0.000,305,305,0,0,0
67131,-0.000,-0.023,0.000,0.000,0.000,0.000,0.000,0.000,0.493,0.056,-0.168,0.635,-0.314,-0.631,-0.317,0.000,0.000,1919,0,-11,-16,0,0.000,0.000,305,305,0,0,0
67231,0.048,-0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.419,0.110,-0.100,0.640,-0.299,-0.636,-0.310,0.000,-0.000,569,0,-7,-16,0,0.000,0.000,305,305,0,0,0
67331,0.056,-0.044,0.000,0.000,0.000,0.000,0.000,0.000,0.422,0.159,-0.056,0.645,-0.289,-0.640,-0.303,0.000,-0.000,0,864,-7,-19,0,0.000,0.000,305,305,0,0,0
67431,0.077,-0.085,0.000,0.000,0.000,0.000,0.000,0.000,0.403,0.192,-0.074,0.653,-0.275,-0.640,-0.297,0.000,-0.000,1647,0,-4,-20,0,0.000,0.000,305,305,0,0,0
67531,0.100,-0.122,0.000,0.000,0.000,0.000,0.000,0.000,0.398,0.139,-0.022,0.660,-0.263,-0.641,-0.291,0.000,-0.000,113,0,-6,-20,0,0.000,0.000,305,305,0,0,0
67631,0.097,-0.143,0.000,0.000,0.000,0.000,0.000,0.000,0.289,0.060,0.006,0.667,-0.253,-0.642,-0.282,0.000,-0.000,0,445,-4,-15,0,0.000,0.000,305,305,0,0,0
67731,0.107,-0.148,0.000,0.000,0.000,0.000,0.000,0.000,0.168,0.049,-0.117,0.669,-0.248,-0.643,-0.278,0.000,-0.000,3097,0,-1,-12,0,0.000,0.000,305,305,0,0,0
67831,0.147,-0.140,0.000,0.000,0.000,0.000,0.000,0.000,-0.170,-0.062,-0.158,0.664,-0.250,-0.644,-0.286,0.000,-0.001,3426,0,4,-1,0,0.000,0.000,305,305,0,0,0
67931,0.200,-0.096,0.000,0.000,0.000,0.000,0.000,0.000,-0.371,-0.207,-0.163,0.652,-0.261,-0.645,-0.302,0.000,-0.000,3966,0,3,6,0,0.000,0.000,305,305,0,0,0
68031,0.265,-0.066,0.000,0.000,0.000,0.000,0.000,0.000,-0.331,0.050,-0.222,0.638,-0.273,-0.644,-0.322,0.000,0.000,4685,0,7,-5,31,16.480,81.130,305,305,0,0,0
68131,0.301,-0.062,0.000,0.000,0.000,0.000,0.000,0.000,-0.460,-0.227,-0.069,0.628,-0.287,-0.638,-0.341,0.000,0.001,4019,0,2,10,31,16.480,81.130,305,305,0,0,0
68231,0.319,-0.038,0.000,0.000,0.000,0.000,0.000,0.000,-0.370,0.090,-0.039,0.616,-0.301,-0.635,-0.355,0.000,0.001,4185,0,10,-5,31,16.480,81.130,305,305,0,0,0
68331,0.315,-0.109,0.000,0.000,0.000,0.000,0.000,0.000,-0.332,0.349,0.011,0.618,-0.308,-0.622,-0.369,0.000,0.000,3950,0,17,-12,31,16.480,81.130,305,305,0,0,0
68431,0.310,-0.231,0.000,0.000,0.000,0.000,0.000,0.000,-0.221,0.332,-0.038,0.625,-0.310,-0.604,-0.385,0.000,-0.001,4519,0,15,-16,30,16.480,81.130,305,305,0,0,0
68531,0.292,-0.321,0.000,0.000,0.000,0.000,0.000,0.000,-0.196,0.219,-0.037,0.630,-0.313,-0.590,-0.396,0.000,-0.002,4479,0,13,-14,30,16.480,81.130,305,305,0,0,0
68631,0.283,-0.385,0.000,0.000,0.000,0.000,0.000,0.000,-0.024,0.151,-0.063,0.633,-0.315,-0.580,-0.405,0.000,-0.003,4729,0,9,-19,30,16.490,81.130,305,305,0,0,0
68731,0.278,-0.409,0.000,0.000,0.000,0.000,0.000,0.000,-0.157,0.087,0.030,0.632,-0.320,-0.574,-0.412,0.000,-0.003,4186,0,14,-14,30,16.490,81.130,305,305,0,0,0
68831,0.264,-0.433,0.000,0.000,0.000,0.000,0.000,0.000,-0.234,0.002,-0.009,0.629,-0.325,-0.568,-0.419,0.000,-0.003,4607,0,14,-10,30,16.490,81.130,305,305,0,0,0
68931,0.248,-0.456,0.000,0.000,0.000,0.000,0.000,0.000,-0.224,0.216,0.090,0.627,-0.333,-0.560,-0.428,0.000,-0.003,3711,0,21,-19,30,16.490,81.130,305,305,0,0,0
69031,0.175,-0.512,0.000,0.000,0.000,0.000,0.000,0.000,-0.186,-0.002,0.189,0.631,-0.341,-0.547,-0.432,0.000,-0.003,2907,0,12,-13,30,16.490,81.130,305,305,0,0,0
69131,0.121,-0.491,0.000,0.000,0.000,0.000,0.000,0.000,-0.164,-0.071,0.037,0.627,-0.351,-0.543,-0.434,0.000,-0.002,3997,0,13,-13,31,16.490,81.130,305,305,0,0,0
69231,0.107,-0.460,0.000,0.000,0.000,0.000,0.000,0.000,-0.130,-0.100,0.037,0.622,-0.359,-0.543,-0.436,0.000,-0.002,3662,0,11,-14,31,16.490,81.130,305,305,0,0,0
69331,0.154,-0.449,0.000,0.000,0.000,0.000,0.000,0.000,-0.126,-0.031,-0.280,0.616,-0.359,-0.544,-0.442,0.000,-0.003,5751,0,15,-12,31,16.480,81.130,305,305,0,0,0
69431,0.166,-0.423,0.000,0.000,0.000,0.000,0.000,0.000,-0.164,-0.143,0.130,0.608,-0.366,-0.544,-0.447,0.000,-0.002,2881,0,10,-11,31,16.480,81.130,305,305,0,0,0
69531,0.124,-0.408,0.000,0.000,0.000,0.000,0.000,0.000,-0.039,0.056,0.096,0.608,-0.371,-0.543,-0.445,0.000,-0.002,3600,0,14,-20,31,16.470,81.130,305,305,0,0,0
69631,0.104,-0.433,0.000,0.000,0.000,0.000,0.000,0.000,0.022,0.201,0.000,0.612,-0.371,-0.539,-0.445,0.000,-0.002,4410,0,17,-25,31,16.470,81.130,305,305,0,0,0
69731,0.103,-0.473,0.000,0.000,0.000,0.000,0.000,0.000,-0.076,0.203,0.040,0.615,-0.368,-0.535,-0.448,0.000,-0.002,3891,0,21,-23,31,16.470,81.130,305,305,0,0,0
