Timestamp,r_ref,q_ref,curr_ax,curr_roll_rate,curr_pitch_rate,curr_yaw_rate,curr_qw,curr_qx,curr_qy,curr_qz,thrust_ref,p_ref,omega_L_ref,omega_R_ref,servo_L_ref,servo_R_ref,Temperature,Voltage,Current,RPM2,RPM4,Throttle2,Throttle4,ErrorCodes
81074,0.061,0.403,0.470,-0.219,-0.146,0.358,-0.408,-0.598,0.458,-0.516,0.000,0.006,0,5358,-7,19,0,0.000,0.000,0,0,0,0,0
81173,-0.052,0.428,0.190,-0.071,-0.036,0.254,-0.402,-0.590,0.472,-0.516,0.000,0.009,0,4808,-10,12,0,0.000,0.000,0,0,0,0,0
81273,-0.127,0.411,0.870,0.057,0.116,0.146,-0.399,-0.584,0.477,-0.522,0.000,0.010,0,4332,-9,4,0,0.000,0.000,0,0,0,0,0
81373,-0.123,0.356,1.320,0.128,0.224,-0.182,-0.401,-0.582,0.470,-0.529,0.000,0.007,0,934,-7,2,0,0.000,0.000,0,0,0,0,0
81473,-0.011,0.242,0.940,0.230,0.274,-0.296,-0.412,-0.583,0.448,-0.539,0.000,0.003,2215,0,-5,-4,0,0.000,0.000,305,305,0,0,0
81573,0.041,0.149,0.950,0.190,0.219,0.017,-0.417,-0.581,0.432,-0.549,0.000,0.001,0,3789,-4,-2,0,0.000,0.000,305,305,0,0,0
81673,-0.019,0.106,0.400,0.272,0.102,0.118,-0.410,-0.579,0.428,-0.561,0.000,0.001,0,4151,-10,-3,0,0.000,0.000,305,305,0,0,0
81773,-0.072,0.072,0.410,0.130,0.140,0.090,-0.403,-0.577,0.424,-0.570,0.000,0.000,0,4116,-2,0,0,0.000,0.000,305,305,0,0,0
81873,-0.044,0.039,-0.030,0.259,0.089,-0.108,-0.401,-0.580,0.413,-0.576,0.000,0.000,0,2326,-8,-4,0,0.000,0.000,305,305,0,0,0
81973,-0.034,-0.022,-0.430,0.261,-0.058,0.127,-0.399,-0.579,0.401,-0.587,0.000,0.000,0,4711,-10,-1,0,0.000,0.000,305,305,0,0,0
82073,-0.058,0.008,-0.200,0.282,-0.293,-0.012,-0.387,-0.587,0.396,-0.593,0.000,-0.000,0,3305,-15,7,0,0.000,0.000,305,305,0,0,0
82173,-0.061,0.097,-0.700,0.279,-0.414,0.002,-0.373,-0.600,0.395,-0.587,0.000,0.001,0,3738,-21,9,0,0.000,0.000,305,305,0,0,0
82273,-0.056,0.172,-0.810,0.187,-0.023,0.021,-0.362,-0.612,0.392,-0.583,0.000,0.001,0,4042,-8,1,0,0.000,0.000,305,305,0,0,0
