Timestamp,r_ref,q_ref,curr_ax,curr_roll_rate,curr_pitch_rate,curr_yaw_rate,curr_qw,curr_qx,curr_qy,curr_qz,ax_ref,p_ref,pitch_ref,yaw_ref,omega_L_ref,omega_R_ref,servo_L_ref,servo_R_ref,Temperature,Voltage
100621,-0.178,-0.452,-0.300,-0.003,-0.025,-0.001,-0.397,-0.539,0.366,-0.646,-0.200,0.004,-0.151,-0.044,4505,0,-11,11,36,15.680
100720,-0.146,-0.111,-0.270,-0.002,-0.017,-0.002,-0.381,-0.575,0.388,-0.611,-0.200,0.001,-0.037,-0.036,4022,0,6,-6,36,15.680
100820,-0.120,0.096,-0.150,-0.001,-0.008,-0.001,-0.371,-0.597,0.402,-0.587,-0.200,-0.000,0.036,-0.030,3886,0,12,-12,36,15.680
100920,-0.137,0.200,-0.260,0.003,-0.011,0.002,-0.362,-0.605,0.408,-0.579,-0.200,-0.001,0.067,-0.034,4657,0,15,-16,36,15.680
101020,-0.183,0.465,-0.700,0.001,-0.018,0.001,-0.338,-0.630,0.424,-0.555,-0.200,-0.003,0.155,-0.046,5536,0,38,-38,36,15.680
101120,-0.186,0.653,-0.660,0.000,-0.001,-0.000,-0.324,-0.648,0.435,-0.536,-0.200,-0.004,0.218,-0.046,5680,0,43,-44,36,15.680
101220,-0.164,0.561,-0.350,-0.001,0.011,-0.001,-0.334,-0.639,0.429,-0.546,-0.200,-0.003,0.180,-0.040,5390,0,24,-24,36,15.680
101320,-0.131,0.226,-0.560,-0.000,0.025,-0.001,-0.363,-0.607,0.412,-0.575,-0.200,-0.001,0.075,-0.033,5440,726,-6,6,37,15.670
101420,-0.124,-0.109,-0.240,0.000,0.024,0.000,-0.388,-0.573,0.392,-0.607,-0.200,0.001,-0.036,-0.031,5702,575,-25,25,37,15.670
101520,-0.108,-0.440,0.080,0.000,0.023,-0.001,-0.411,-0.539,0.370,-0.636,-0.200,0.002,-0.147,-0.027,5447,808,-48,48,37,15.680
101620,-0.123,-0.538,0.190,0.001,-0.011,0.003,-0.416,-0.527,0.364,-0.645,-0.200,0.003,-0.172,-0.032,5540,0,-32,32,37,15.680
101720,-0.154,-0.321,-0.500,-0.003,0.003,-0.001,-0.404,-0.547,0.384,-0.625,-0.200,0.003,-0.107,-0.039,5684,0,-17,17,36,15.680
101820,-0.123,-0.651,0.570,0.001,0.009,0.000,-0.428,-0.512,0.360,-0.652,-0.200,0.004,-0.217,-0.031,4886,0,-55,55,36,15.680
101920,-0.151,-0.467,-0.390,-0.000,-0.006,0.000,-0.413,-0.532,0.374,-0.638,-0.200,0.003,-0.156,-0.038,5363,0,-26,26,37,15.660
102020,-0.150,-0.606,0.500,0.001,0.005,0.001,-0.423,-0.516,0.365,-0.650,-0.200,0.004,-0.203,-0.038,4845,0,-45,46,37,15.660
102120,-0.168,-0.651,0.360,0.000,0.009,0.000,-0.424,-0.510,0.363,-0.654,-0.200,0.005,-0.217,-0.042,4895,0,-49,49,37,15.660
102220,-0.153,-0.819,0.640,-0.000,0.008,-0.002,-0.435,-0.492,0.350,-0.668,-0.200,0.006,-0.273,-0.038,4461,0,-63,63,36,15.660
102320,-0.132,-0.883,0.350,0.000,0.007,-0.000,-0.442,-0.486,0.344,-0.671,-0.200,0.005,-0.294,-0.033,4347,0,-65,65,36,15.660
102420,-0.124,-0.996,0.290,0.001,0.014,0.001,-0.448,-0.474,0.335,-0.681,-0.200,0.006,-0.332,-0.031,4447,0,-78,78,36,15.660
102520,-0.137,-1.205,0.340,0.001,0.008,0.001,-0.458,-0.449,0.319,-0.698,-0.200,0.007,-0.402,-0.034,4743,0,-91,91,36,15.660
102620,-0.155,-1.175,0.340,0.001,-0.008,0.001,-0.453,-0.452,0.322,-0.698,-0.200,0.008,-0.392,-0.039,4959,0,-78,78,37,15.670
102720,-0.170,-0.849,-0.240,-0.001,-0.029,-0.000,-0.434,-0.489,0.348,-0.672,-0.200,0.007,-0.283,-0.042,5057,0,-43,44,37,15.670
102820,-0.139,-0.413,-0.110,-0.002,-0.023,-0.003,-0.413,-0.537,0.378,-0.631,-0.200,0.003,-0.138,-0.035,4382,0,-14,14,36,15.670
102920,-0.101,-0.167,0.180,0.000,-0.008,-0.001,-0.401,-0.563,0.394,-0.606,-0.200,0.001,-0.056,-0.025,4034,0,-10,10,36,15.670
103020,-0.094,-0.032,0.240,0.000,-0.004,0.001,-0.393,-0.577,0.402,-0.592,-0.200,0.000,-0.011,-0.024,4321,0,-7,7,36,15.680
103120,-0.122,0.110,0.050,-0.000,-0.014,0.001,-0.383,-0.588,0.415,-0.579,-0.200,-0.000,0.037,-0.030,4853,0,4,-4,36,15.680
103220,-0.127,0.393,-0.350,0.000,-0.019,-0.001,-0.363,-0.614,0.434,-0.550,-0.200,-0.002,0.131,-0.032,4802,0,26,-27,36,15.680
103320,-0.133,0.613,-0.270,0.001,-0.005,-0.000,-0.346,-0.634,0.447,-0.528,-0.200,-0.003,0.204,-0.033,5094,0,35,-35,36,15.680
103420,-0.137,0.615,-0.130,0.000,0.000,0.000,-0.345,-0.634,0.447,-0.528,-0.200,-0.003,0.205,-0.034,5139,0,27,-27,37,15.670
103520,-0.125,0.698,-0.070,-0.000,0.000,0.000,-0.342,-0.640,0.453,-0.517,-0.200,-0.003,0.233,-0.031,4790,0,36,-36,37,15.670
103620,-0.122,0.767,0.000,-0.001,-0.001,0.000,-0.338,-0.645,0.459,-0.509,-0.200,-0.004,0.256,-0.031,4745,0,40,-40,37,15.670
103720,-0.114,0.815,-0.020,-0.000,0.001,-0.000,-0.339,-0.646,0.466,-0.500,-0.200,-0.004,0.272,-0.028,4648,0,43,-43,36,15.680
103820,-0.111,0.821,0.040,0.000,-0.000,0.000,-0.341,-0.645,0.469,-0.498,-0.200,-0.004,0.274,-0.028,4704,0,42,-42,36,15.680
