Timestamp,r_ref,q_ref,curr_ax,curr_roll_rate,curr_pitch_rate,curr_yaw_rate,curr_qw,curr_qx,curr_qy,curr_qz,ax_ref,p_ref,pitch_ref,yaw_ref,omega_L_ref,omega_R_ref,servo_L_ref,servo_R_ref,Temperature,Voltage,RPM2,RPM4,ErrorCodes
80686,-0.188,0.388,-0.060,0.001,0.019,0.001,-0.310,-0.646,0.384,-0.582,-0.200,-0.002,0.129,-0.047,7289,3859,6,-6,0,0.000,0,0,0
80786,-0.186,0.130,0.160,-0.001,0.010,-0.000,-0.325,-0.621,0.369,-0.610,-0.200,-0.000,0.043,-0.046,7130,3745,-4,4,0,0.000,0,0,0
80886,-0.185,0.270,-0.120,-0.003,-0.014,-0.002,-0.318,-0.634,0.378,-0.595,-0.200,-0.001,0.090,-0.046,6973,3580,25,-25,0,0.000,0,0,0
80986,-0.142,0.205,-0.030,0.001,0.016,-0.000,-0.327,-0.629,0.373,-0.599,-0.200,-0.001,0.068,-0.036,6634,4138,7,-7,0,0.000,0,0,0
81086,-0.186,0.144,-0.160,0.002,-0.010,0.003,-0.325,-0.622,0.370,-0.609,-0.200,-0.001,0.048,-0.047,7243,1877,12,-12,0,0.000,305,305,0
81186,-0.242,0.390,-0.180,0.001,-0.017,0.002,-0.303,-0.646,0.385,-0.586,-0.200,-0.003,0.130,-0.061,7637,0,37,-38,0,0.000,305,305,0
81286,-0.306,0.632,0.040,0.002,-0.013,0.003,-0.280,-0.667,0.400,-0.563,-0.200,-0.006,0.211,-0.077,8014,0,52,-53,0,0.000,305,305,0
81386,-0.367,0.752,0.050,0.008,-0.005,-0.001,-0.258,-0.682,0.399,-0.556,-0.200,-0.009,0.251,-0.092,8009,0,54,-55,0,0.000,305,305,0
81486,-0.384,0.799,0.210,0.005,0.002,0.001,-0.242,-0.694,0.388,-0.557,-0.200,-0.011,0.266,-0.096,7854,0,53,-54,0,0.000,305,305,0
81586,-0.437,0.597,0.700,-0.010,0.021,0.005,-0.257,-0.668,0.391,-0.579,-0.200,-0.008,0.199,-0.109,7858,0,29,-28,0,0.000,305,305,0
81686,-0.428,0.268,0.250,-0.003,0.014,-0.001,-0.293,-0.626,0.390,-0.608,-0.200,-0.002,0.089,-0.107,7199,0,7,-7,0,0.000,305,305,0
81786,-0.385,0.091,-0.210,-0.002,0.005,0.000,-0.312,-0.608,0.382,-0.623,-0.200,0.001,0.030,-0.096,6823,0,2,-2,0,0.000,305,305,0
81886,-0.362,0.146,-1.010,0.002,-0.008,-0.004,-0.311,-0.614,0.384,-0.615,-0.200,0.000,0.049,-0.091,7115,0,17,-17,0,0.000,305,305,0
81986,-0.325,0.165,-0.450,-0.004,0.007,-0.001,-0.316,-0.616,0.385,-0.611,-0.200,-0.000,0.055,-0.081,6920,0,14,-14,0,0.000,305,305,0
82086,-0.310,0.035,0.290,-0.002,0.004,-0.000,-0.332,-0.599,0.383,-0.620,-0.200,0.001,0.012,-0.077,6801,0,3,-3,0,0.000,305,305,0
82186,-0.290,0.064,0.000,0.000,-0.005,-0.001,-0.333,-0.602,0.385,-0.615,-0.200,0.001,0.021,-0.072,6382,0,11,-11,0,0.000,305,305,0
82286,-0.279,0.140,-0.120,0.002,-0.004,-0.001,-0.326,-0.612,0.385,-0.609,-0.200,-0.000,0.047,-0.070,6280,0,18,-18,0,0.000,305,305,0
82386,-0.239,0.159,0.250,0.003,-0.001,-0.003,-0.323,-0.619,0.378,-0.608,-0.200,-0.001,0.053,-0.060,5501,0,16,-17,0,0.000,305,305,0
82486,-0.139,0.181,0.000,0.004,0.001,-0.006,-0.324,-0.629,0.367,-0.604,-0.200,-0.001,0.060,-0.035,3795,0,17,-18,0,0.000,305,305,0
82586,-0.083,0.117,-0.320,0.003,0.002,0.002,-0.326,-0.629,0.353,-0.612,-0.200,-0.000,0.039,-0.021,4303,0,11,-11,0,0.000,305,305,0
82686,-0.150,0.186,0.560,-0.002,-0.007,0.003,-0.317,-0.633,0.362,-0.607,-0.200,-0.001,0.062,-0.037,5853,0,22,-22,0,0.000,305,305,0
82786,-0.178,0.257,-0.040,-0.001,-0.004,0.003,-0.312,-0.638,0.369,-0.600,-0.200,-0.001,0.086,-0.044,6048,0,25,-25,0,0.000,305,305,0
82886,-0.232,0.314,0.170,-0.004,-0.002,0.002,-0.308,-0.638,0.380,-0.594,-0.200,-0.002,0.105,-0.058,6167,0,29,-29,0,0.000,305,305,0
82986,-0.224,0.328,0.160,-0.000,0.001,-0.001,-0.312,-0.637,0.385,-0.590,-0.200,-0.002,0.109,-0.056,5647,0,27,-27,0,0.000,305,305,0
83086,-0.177,0.296,0.100,0.001,-0.000,-0.002,-0.316,-0.637,0.378,-0.592,-0.200,-0.002,0.099,-0.044,5126,0,25,-25,0,0.000,305,305,0
83186,-0.146,0.292,-0.160,-0.000,0.001,-0.000,-0.319,-0.639,0.375,-0.591,-0.200,-0.001,0.097,-0.036,4998,0,25,-25,0,0.000,305,305,0
83286,-0.147,0.271,-0.060,0.000,0.001,0.002,-0.321,-0.636,0.375,-0.593,-0.200,-0.001,0.090,-0.037,5331,0,23,-23,0,0.000,305,305,0
83386,-0.168,0.231,0.110,-0.000,0.002,0.001,-0.322,-0.631,0.375,-0.598,-0.200,-0.001,0.077,-0.042,5663,0,20,-20,0,0.000,305,305,0
83486,-0.162,0.181,0.050,-0.000,0.004,-0.000,-0.326,-0.626,0.372,-0.603,-0.200,-0.001,0.060,-0.040,5415,0,17,-17,0,0.000,305,305,0
83586,-0.159,0.123,-0.040,0.000,0.003,0.001,-0.330,-0.620,0.369,-0.609,-0.200,-0.000,0.041,-0.040,5507,0,13,-13,0,0.000,305,305,0
83686,-0.170,0.055,0.010,0.001,0.003,0.001,-0.333,-0.613,0.365,-0.616,-0.200,0.000,0.018,-0.042,5703,0,9,-9,34,15.490,305,305,0
83786,-0.181,0.019,-0.050,0.000,0.001,0.001,-0.333,-0.609,0.363,-0.621,-0.200,0.000,0.006,-0.045,5869,0,8,-8,34,15.490,305,305,0
83886,-0.190,-0.004,-0.100,0.001,0.001,0.000,-0.333,-0.607,0.362,-0.624,-0.200,0.001,-0.001,-0.048,5876,0,8,-8,34,15.500,305,305,0
