Timestamp,r_ref,q_ref,curr_ax,curr_roll_rate,curr_pitch_rate,curr_yaw_rate,curr_qw,curr_qx,curr_qy,curr_qz,ax_ref,p_ref,pitch_ref,yaw_ref,omega_L_ref,omega_R_ref,servo_L_ref,servo_R_ref,Temperature,Voltage,RPM2,RPM4,Throttle2,Throttle4,ErrorCodes
138799,0.866,0.718,0.327,-0.002,0.008,-0.001,0.486,0.614,-0.490,0.383,-0.200,0.050,0.239,0.216,0,11366,43,-41,0,0.000,0,0,0,0,0
138898,0.838,0.579,0.364,0.003,0.006,0.002,0.499,0.599,-0.485,0.396,-0.200,0.043,0.193,0.209,0,10938,31,-30,0,0.000,0,0,0,0,0
138998,0.782,0.342,0.364,0.002,0.022,0.003,0.513,0.580,-0.468,0.426,-0.200,0.030,0.114,0.194,0,10345,9,-8,0,0.000,0,0,0,0,0
139098,0.760,0.051,0.209,0.001,0.020,-0.001,0.532,0.559,-0.442,0.457,-0.200,0.019,0.017,0.190,0,10369,-11,11,0,0.000,305,305,0,0,0
139198,0.808,-0.114,0.094,0.001,-0.003,-0.002,0.547,0.549,-0.423,0.470,-0.200,0.016,-0.038,0.202,0,10710,-10,10,0,0.000,305,305,0,0,0
139298,0.804,0.162,-0.160,-0.001,-0.022,0.000,0.527,0.570,-0.448,0.443,-0.200,0.025,0.054,0.201,0,10507,27,-26,0,0.000,305,305,0,0,0
139398,0.826,0.474,-0.104,-0.001,-0.022,-0.002,0.505,0.593,-0.474,0.410,-0.200,0.038,0.158,0.207,0,10780,49,-47,0,0.000,305,305,0,0,0
139498,0.863,0.861,0.029,-0.001,-0.028,-0.003,0.476,0.622,-0.503,0.366,-0.200,0.056,0.287,0.216,0,10969,78,-75,0,0.000,305,305,0,0,0
139598,0.871,1.242,0.265,0.001,-0.013,-0.001,0.442,0.647,-0.530,0.324,-0.200,0.073,0.414,0.218,0,10790,98,-95,0,0.000,305,305,0,0,0
139698,0.891,1.008,0.391,0.001,0.025,0.000,0.464,0.634,-0.511,0.349,-0.200,0.065,0.336,0.223,0,10716,54,-52,0,0.000,305,305,0,0,0
139798,0.870,0.783,0.477,0.001,0.010,0.001,0.481,0.619,-0.494,0.376,-0.200,0.053,0.261,0.217,0,10257,44,-43,0,0.000,305,305,0,0,0
139898,0.865,0.767,0.445,0.000,-0.013,0.000,0.482,0.618,-0.492,0.379,-0.200,0.052,0.256,0.216,0,10361,57,-55,0,0.000,305,305,0,0,0
139998,0.864,0.881,0.284,-0.001,0.011,-0.001,0.472,0.625,-0.502,0.366,-0.200,0.056,0.294,0.216,0,10508,62,-60,0,0.000,305,305,0,0,0
140098,0.862,0.767,0.431,0.002,-0.005,0.001,0.481,0.618,-0.492,0.379,-0.200,0.052,0.256,0.215,0,10494,57,-55,0,0.000,305,305,0,0,0
140198,0.862,0.836,0.464,0.000,0.001,-0.001,0.475,0.623,-0.497,0.372,-0.200,0.054,0.279,0.215,0,10648,62,-60,0,0.000,305,305,0,0,0
140298,0.864,0.778,0.627,0.001,0.004,0.000,0.479,0.620,-0.491,0.379,-0.200,0.052,0.259,0.216,0,10714,55,-54,0,0.000,305,305,0,0,0
140398,0.828,0.713,0.589,-0.000,0.002,-0.000,0.482,0.614,-0.489,0.389,-0.200,0.047,0.238,0.207,0,10456,52,-50,0,0.000,305,305,0,0,0
140498,0.673,0.584,0.425,-0.000,0.002,0.000,0.484,0.595,-0.492,0.412,-0.200,0.029,0.191,0.165,0,9393,41,-40,34,15.810,305,305,0,0,0
140598,0.539,0.485,0.272,-0.000,0.002,0.000,0.484,0.581,-0.493,0.431,-0.200,0.020,0.162,0.135,0,8949,37,-36,34,15.810,305,305,0,0,0
140698,0.451,0.391,0.137,-0.001,0.003,0.000,0.484,0.570,-0.489,0.448,-0.200,0.014,0.130,0.113,0,8836,32,-31,34,15.810,305,305,0,0,0
140798,0.411,0.338,0.079,0.000,0.001,0.001,0.485,0.565,-0.486,0.457,-0.200,0.011,0.113,0.103,0,8879,31,-30,34,15.810,305,305,0,0,0
140898,0.350,0.284,0.029,0.001,0.001,0.002,0.482,0.561,-0.481,0.471,-0.200,0.008,0.094,0.086,0,8594,28,-28,33,15.810,305,305,0,0,0
140998,0.305,0.272,0.044,-0.000,-0.001,0.000,0.478,0.560,-0.482,0.476,-0.200,0.006,0.091,0.076,0,8530,30,-29,33,15.810,305,305,0,0,0
141098,0.295,0.284,0.026,-0.001,-0.000,-0.001,0.474,0.562,-0.481,0.477,-0.200,0.006,0.095,0.074,0,8706,32,-31,34,15.820,305,305,0,0,0
141198,0.308,0.269,0.052,-0.001,0.001,-0.002,0.475,0.563,-0.477,0.480,-0.200,0.006,0.090,0.077,0,8995,30,-30,34,15.820,305,305,0,0,0
141298,0.315,0.250,0.013,-0.001,0.000,-0.001,0.475,0.564,-0.473,0.483,-0.200,0.006,0.083,0.079,0,8993,29,-29,34,15.810,305,305,0,0,0
141398,0.340,0.268,-0.040,-0.000,-0.003,-0.001,0.476,0.566,-0.474,0.478,-0.200,0.007,0.089,0.085,0,9222,33,-32,34,15.810,305,305,0,0,0
141498,0.356,0.304,-0.079,0.001,-0.004,-0.001,0.474,0.570,-0.475,0.475,-0.200,0.008,0.101,0.089,0,9329,36,-36,34,15.820,305,305,0,0,0
141598,0.391,0.348,0.008,0.000,-0.002,-0.001,0.470,0.578,-0.473,0.470,-0.200,0.010,0.116,0.098,0,9591,39,-38,34,15.820,305,305,0,0,0
141698,0.333,0.379,0.269,0.003,0.001,0.005,0.460,0.580,-0.477,0.475,-0.200,0.008,0.126,0.080,0,8691,40,-39,34,15.820,305,305,0,0,0
141798,0.273,0.323,0.191,0.001,0.004,-0.000,0.460,0.574,-0.474,0.485,-0.200,0.006,0.108,0.068,0,8745,33,-33,34,15.820,305,305,0,0,0
141898,0.280,0.283,0.165,0.002,0.002,0.000,0.462,0.573,-0.468,0.490,-0.200,0.005,0.094,0.070,0,9014,32,-32,34,15.820,305,305,0,0,0
141998,0.252,0.254,0.099,0.004,0.001,0.001,0.457,0.573,-0.462,0.499,-0.200,0.004,0.085,0.063,0,8760,31,-31,34,15.810,305,305,0,0,0
142098,0.219,0.236,-0.046,0.002,0.000,-0.000,0.452,0.574,-0.459,0.506,-0.200,0.003,0.079,0.055,0,8665,31,-30,34,15.810,305,305,0,0,0
142198,0.222,0.253,-0.040,0.002,-0.004,-0.001,0.448,0.578,-0.456,0.507,-0.200,0.004,0.084,0.056,0,8856,34,-34,34,15.810,305,305,0,0,0
142298,0.208,0.292,0.125,0.005,-0.000,0.001,0.440,0.585,-0.455,0.508,-0.200,0.004,0.097,0.052,0,8650,37,-37,34,15.810,305,305,0,0,0
142398,0.149,0.305,0.170,0.007,-0.001,-0.000,0.425,0.591,-0.448,0.519,-0.200,0.002,0.102,0.037,0,8229,37,-37,34,15.800,305,305,0,0,0
142498,0.166,0.346,0.017,0.008,-0.005,-0.003,0.411,0.606,-0.436,0.523,-0.200,0.003,0.115,0.042,0,8765,42,-42,34,15.800,305,305,0,0,0
142598,0.183,0.385,-0.055,0.012,0.001,-0.002,0.395,0.622,-0.421,0.529,-0.200,0.004,0.128,0.046,0,8828,43,-43,34,15.800,305,305,0,0,0
142698,0.189,0.357,0.112,0.011,0.004,-0.002,0.379,0.634,-0.397,0.545,-0.200,0.004,0.119,0.047,0,8863,39,-39,34,15.800,305,305,0,0,0
142798,0.188,0.325,-0.016,0.011,0.001,-0.001,0.365,0.642,-0.376,0.559,-0.200,0.003,0.108,0.047,0,8828,38,-38,34,15.800,305,305,0,0,0
142898,0.190,0.307,-0.170,0.017,0.002,-0.002,0.345,0.654,-0.351,0.575,-0.200,0.003,0.102,0.047,0,8883,37,-37,34,15.800,305,305,0,0,0
142998,0.186,0.272,0.004,0.019,0.004,-0.003,0.317,0.667,-0.316,0.595,-0.200,0.003,0.091,0.046,0,8874,34,-34,34,15.800,305,305,0,0,0
143098,0.277,0.269,0.140,0.016,-0.001,-0.007,0.296,0.684,-0.276,0.607,-0.200,0.004,0.090,0.069,0,9779,37,-37,34,15.800,305,305,0,0,0
143198,0.336,0.301,-0.069,0.013,-0.000,-0.001,0.275,0.701,-0.243,0.613,-0.200,0.006,0.101,0.083,0,9704,40,-40,34,15.810,305,305,0,0,0
