Timestamp,r_ref,yaw_integrator,q_ref,curr_ax,curr_roll_rate,curr_pitch_rate,curr_yaw_rate,curr_qw,curr_qx,curr_qy,curr_qz,thrust_ref,p_ref,omega_L_ref,omega_R_ref,servo_L_ref,servo_R_ref,Temperature,Voltage,Current,RPM2,RPM4,Throttle2,Throttle4,ErrorCodes
71337,0.074,26264488.000,-0.310,0.060,0.218,-0.559,-0.122,0.709,-0.187,-0.643,-0.220,0.000,0.003,6082,0,-16,4,0,0.000,0.000,0,0,0,0,0
71436,0.097,26742328.000,-0.310,-0.110,0.074,-0.018,0.036,0.711,-0.180,-0.645,-0.216,0.000,0.003,5169,0,7,-8,0,0.000,0.000,0,0,0,0,0
71536,0.076,26844042.000,-0.275,-0.040,0.069,-0.104,0.068,0.708,-0.180,-0.649,-0.211,0.000,0.002,5080,0,4,-6,0,0.000,0.000,0,0,0,0,0
71636,0.051,26821132.000,-0.275,0.020,0.031,0.036,0.069,0.709,-0.180,-0.649,-0.207,0.000,0.002,5037,0,9,-10,0,0.000,0.000,0,0,0,0,0
71736,0.034,26777846.000,-0.287,0.010,0.020,0.041,0.001,0.711,-0.181,-0.648,-0.205,0.000,0.002,5457,0,9,-10,0,0.000,0.000,305,305,0,0,0
71836,0.046,27006940.000,-0.308,0.140,0.003,0.027,-0.048,0.713,-0.179,-0.646,-0.207,0.000,0.002,5718,0,9,-9,0,0.000,0.000,305,305,0,0,0
71936,0.070,27426966.000,-0.308,-0.030,-0.013,-0.024,-0.060,0.712,-0.178,-0.646,-0.209,0.000,0.002,5779,0,9,-8,0,0.000,0.000,305,305,0,0,0
72036,0.097,27953958.000,-0.309,-0.040,0.000,0.002,-0.049,0.712,-0.175,-0.646,-0.212,0.000,0.003,5807,0,10,-9,0,0.000,0.000,305,305,0,0,0
72136,0.114,28456026.000,-0.307,0.000,0.027,-0.010,-0.017,0.711,-0.173,-0.647,-0.212,0.000,0.003,5743,0,9,-10,0,0.000,0.000,305,305,0,0,0
72236,0.118,28880816.000,-0.304,-0.210,0.022,-0.017,0.010,0.711,-0.172,-0.648,-0.212,0.000,0.003,5720,0,9,-10,0,0.000,0.000,305,305,0,0,0
72336,0.118,29211292.000,-0.308,-0.190,0.059,0.068,0.051,0.712,-0.170,-0.648,-0.209,0.000,0.003,5539,0,11,-13,0,0.000,0.000,305,305,0,0,0
72436,0.103,29443390.000,-0.331,0.160,0.108,0.058,0.076,0.716,-0.168,-0.645,-0.206,0.000,0.003,5359,0,9,-15,0,0.000,0.000,305,305,0,0,0
72536,0.076,29470984.000,-0.357,0.190,0.037,0.117,0.036,0.720,-0.167,-0.642,-0.202,0.000,0.003,5644,0,15,-15,0,0.000,0.000,305,305,0,0,0
72636,0.067,29592422.000,-0.374,-0.060,0.106,0.070,0.012,0.723,-0.164,-0.641,-0.198,0.000,0.003,5715,0,12,-16,0,0.000,0.000,305,305,0,0,0
72736,0.067,29782190.000,-0.384,0.030,0.080,0.047,0.024,0.725,-0.160,-0.640,-0.195,0.000,0.003,5590,0,12,-16,0,0.000,0.000,305,305,0,0,0
72836,0.056,29860470.000,-0.396,0.130,0.090,0.027,0.043,0.728,-0.158,-0.639,-0.191,0.000,0.003,5477,0,12,-16,0,0.000,0.000,305,305,0,0,0
72937,0.060,30059286.000,-0.403,0.050,0.047,0.017,-0.021,0.729,-0.155,-0.639,-0.188,0.000,0.003,5851,0,14,-14,15,15.390,78.990,305,305,0,0,0
73037,0.073,30398510.000,-0.395,-0.090,-0.002,-0.037,-0.034,0.728,-0.154,-0.641,-0.189,0.000,0.003,5933,0,13,-13,15,15.390,78.990,305,305,0,0,0
73137,0.064,30573566.000,-0.395,-0.120,-0.011,0.008,0.064,0.728,-0.156,-0.640,-0.189,0.000,0.003,5354,0,14,-15,15,15.390,78.990,305,305,0,0,0
73238,0.051,30662080.000,-0.401,0.050,-0.020,0.050,0.027,0.729,-0.157,-0.639,-0.189,0.000,0.003,5597,0,17,-16,15,15.390,78.990,305,305,0,0,0
73338,0.044,30751202.000,-0.407,0.130,-0.020,-0.029,0.049,0.729,-0.158,-0.638,-0.189,0.000,0.003,5416,0,14,-14,15,15.390,78.990,305,305,0,0,0
73438,0.022,30679590.000,-0.419,0.050,0.001,0.029,0.036,0.731,-0.159,-0.636,-0.188,0.000,0.003,5497,0,16,-16,15,15.390,78.990,305,305,0,0,0
