Timestamp,r_ref,q_ref,curr_ax,curr_roll_rate,curr_pitch_rate,curr_yaw_rate,curr_qw,curr_qx,curr_qy,curr_qz,ax_ref,p_ref,omega_L_ref,omega_R_ref,servo_L_ref,servo_R_ref,Temperature,Voltage,RPM2,RPM4,Throttle2,Throttle4,ErrorCodes
75979,0.118,-0.611,0.045,0.113,-1.377,-0.052,0.034,-0.589,-0.043,-0.806,-0.200,-0.005,3996,0,-12,9,0,0.000,0,0,0,0,0
76078,0.145,-0.350,-0.062,0.142,-1.167,-0.053,0.034,-0.640,-0.052,-0.766,-0.200,-0.003,4345,0,-8,3,0,0.000,0,0,0,0,0
76178,0.183,-0.146,-0.191,0.136,-1.030,-0.083,0.034,-0.682,-0.064,-0.728,-0.200,-0.002,4891,0,-10,7,0,0.000,0,0,0,0,0
76278,0.205,0.027,-0.190,0.239,-0.741,-0.084,0.036,-0.708,-0.073,-0.701,-0.200,0.000,5304,0,-10,0,0,0.000,0,0,0,0,0
76378,0.255,0.164,-0.166,0.274,-0.628,-0.231,0.034,-0.731,-0.084,-0.677,-0.200,0.002,6730,0,-12,2,0,0.000,305,305,0,0,0
76478,0.341,0.248,-0.174,0.132,-0.201,-0.233,0.029,-0.743,-0.097,-0.661,-0.200,0.005,7388,0,-1,-3,0,0.000,305,305,0,0,0
76578,0.407,0.290,-0.200,0.057,-0.166,-0.069,0.025,-0.749,-0.107,-0.654,-0.200,0.007,6886,0,-1,-1,0,0.000,305,305,0,0,0
76678,0.362,0.284,-0.187,-0.179,0.119,0.406,0.024,-0.749,-0.097,-0.655,-0.200,0.006,2911,0,8,1,0,0.000,305,305,0,0,0
76778,0.174,0.245,-0.120,-0.377,0.262,0.584,0.027,-0.746,-0.064,-0.662,-0.200,0.003,0,4709,13,1,0,0.000,305,305,0,0,0
76878,0.073,0.217,-0.120,-0.193,-0.049,0.100,0.027,-0.743,-0.044,-0.667,-0.200,0.001,2783,0,-1,4,0,0.000,305,305,0,0,0
76978,0.018,0.238,-0.214,-0.079,-0.020,0.272,0.025,-0.747,-0.031,-0.663,-0.200,0.000,0,3301,0,-1,0,0.000,305,305,0,0,0
77078,-0.094,0.237,-0.161,-0.070,-0.068,0.282,0.033,-0.747,-0.019,-0.663,-0.200,-0.001,0,4684,-1,3,0,0.000,305,305,0,0,0
77178,-0.164,0.276,-0.081,-0.107,-0.272,0.097,0.034,-0.754,-0.008,-0.656,-0.200,-0.003,0,3752,-6,9,0,0.000,305,305,0,0,0
77278,-0.189,0.337,-0.095,-0.040,-0.292,0.142,0.035,-0.764,-0.004,-0.644,-0.200,-0.004,0,4543,-7,7,0,0.000,305,305,0,0,0
77378,-0.286,0.371,-0.087,0.242,-0.060,0.280,0.045,-0.770,0.002,-0.637,-0.200,-0.007,0,6421,-9,-4,0,0.000,305,305,0,0,0
77478,-0.372,0.388,-0.070,0.066,-0.167,0.100,0.057,-0.773,0.005,-0.632,-0.200,-0.009,0,6030,-7,8,0,0.000,305,305,0,0,0
77578,-0.389,0.401,-0.069,0.026,0.021,-0.014,0.059,-0.774,0.005,-0.630,-0.200,-0.010,0,5454,-3,2,34,15.500,305,305,0,0,0
77678,-0.337,0.385,-0.018,0.027,0.084,-0.310,0.055,-0.772,-0.000,-0.634,-0.200,-0.008,0,1666,-3,1,34,15.500,305,305,0,0,0
77778,-0.187,0.344,0.060,0.042,0.212,-0.370,0.045,-0.765,-0.016,-0.642,-0.200,-0.004,3813,0,-1,-1,34,15.500,305,305,0,0,0
77878,-0.111,0.316,0.081,0.038,0.068,-0.074,0.039,-0.760,-0.025,-0.648,-0.200,-0.002,0,2046,-5,2,34,15.500,305,305,0,0,0
77978,-0.105,0.307,0.063,0.043,-0.006,-0.013,0.041,-0.759,-0.027,-0.649,-0.200,-0.002,0,2729,-5,4,34,15.500,305,305,0,0,0
78078,-0.099,0.313,0.026,-0.016,-0.059,-0.030,0.041,-0.760,-0.029,-0.648,-0.200,-0.002,0,2447,-5,6,34,15.500,305,305,0,0,0
78178,-0.077,0.313,-0.007,0.010,0.048,-0.044,0.039,-0.760,-0.031,-0.648,-0.200,-0.002,0,1782,-3,2,34,15.500,305,305,0,0,0
78278,-0.063,0.309,-0.005,0.011,0.003,-0.024,0.037,-0.759,-0.031,-0.649,-0.200,-0.001,0,2059,-5,4,34,15.500,305,305,0,0,0
78378,-0.059,0.312,0.008,-0.008,-0.106,-0.018,0.038,-0.759,-0.033,-0.649,-0.200,-0.001,0,2043,-7,7,34,15.500,305,305,0,0,0
78478,-0.050,0.339,0.004,-0.023,-0.203,-0.027,0.037,-0.764,-0.034,-0.644,-0.200,-0.001,0,1708,-9,10,34,15.500,305,305,0,0,0
78578,-0.011,0.393,-0.019,-0.083,-0.499,-0.199,0.032,-0.772,-0.037,-0.633,-0.200,-0.000,3772,0,-17,19,34,15.500,305,305,0,0,0
78678,0.058,0.518,-0.021,-0.007,-0.556,-0.153,0.024,-0.791,-0.043,-0.609,-0.200,0.002,4174,0,-17,15,34,15.500,305,305,0,0,0
78778,0.101,0.562,-0.054,0.027,0.022,-0.058,0.021,-0.798,-0.049,-0.600,-0.200,0.004,3677,0,-7,5,34,15.500,305,305,0,0,0
78878,0.116,0.554,-0.052,0.028,0.014,-0.037,0.022,-0.796,-0.053,-0.602,-0.200,0.004,3704,0,-11,10,34,15.500,305,305,0,0,0
78978,0.125,0.540,0.045,0.127,0.200,-0.100,0.024,-0.794,-0.058,-0.605,-0.200,0.004,4503,0,-9,3,34,15.510,305,305,0,0,0
79078,0.169,0.481,0.139,0.227,0.351,-0.236,0.028,-0.784,-0.070,-0.616,-0.200,0.005,5993,0,-8,-1,34,15.510,305,305,0,0,0
79178,0.211,0.450,0.046,0.198,0.028,-0.083,0.033,-0.778,-0.084,-0.622,-0.200,0.006,5351,0,-14,9,34,15.510,305,305,0,0,0
79278,0.220,0.466,-0.088,0.119,-0.107,-0.030,0.036,-0.779,-0.091,-0.619,-0.200,0.006,5114,0,-15,12,34,15.510,305,305,0,0,0
79378,0.222,0.481,-0.118,0.042,0.027,-0.019,0.038,-0.781,-0.093,-0.616,-0.200,0.007,5135,0,-10,9,34,15.510,305,305,0,0,0
79478,0.235,0.481,-0.144,0.014,-0.013,-0.048,0.037,-0.781,-0.095,-0.616,-0.200,0.007,5543,0,-12,11,34,15.510,305,305,0,0,0
79578,0.253,0.482,-0.134,-0.006,0.001,-0.017,0.035,-0.781,-0.096,-0.616,-0.200,0.007,5555,0,-12,12,34,15.500,305,305,0,0,0
79678,0.261,0.473,-0.106,0.014,0.041,-0.060,0.034,-0.780,-0.096,-0.618,-0.200,0.008,6011,0,-12,10,34,15.500,305,305,0,0,0
79778,0.281,0.474,-0.098,-0.002,0.000,-0.020,0.032,-0.780,-0.098,-0.618,-0.200,0.008,5987,0,-13,12,34,15.500,305,305,0,0,0
79878,0.284,0.472,-0.115,-0.017,0.076,0.021,0.031,-0.779,-0.097,-0.618,-0.200,0.008,5823,0,-11,11,34,15.500,305,305,0,0,0
79978,0.279,0.452,-0.113,-0.056,0.161,0.087,0.029,-0.776,-0.093,-0.623,-0.200,0.008,5397,0,-9,10,34,15.500,305,305,0,0,0
80078,0.247,0.412,-0.089,-0.043,0.280,0.119,0.030,-0.771,-0.086,-0.630,-0.200,0.006,4974,0,-6,6,34,15.500,305,305,0,0,0
80178,0.196,0.353,-0.045,-0.090,0.324,0.171,0.030,-0.763,-0.074,-0.641,-0.200,0.004,4093,0,-4,6,34,15.500,305,305,0,0,0
80278,0.151,0.281,-0.017,-0.074,0.417,0.106,0.031,-0.752,-0.065,-0.655,-0.200,0.003,4301,0,-2,3,34,15.500,305,305,0,0,0
80378,0.130,0.214,0.021,-0.006,0.248,0.020,0.033,-0.740,-0.061,-0.669,-0.200,0.002,4948,0,-8,6,34,15.500,305,305,0,0,0
80478,0.122,0.169,0.034,0.059,0.047,-0.061,0.036,-0.734,-0.061,-0.676,-0.200,0.001,5446,0,-11,7,34,15.500,305,305,0,0,0
80578,0.146,0.194,0.005,0.217,-0.499,-0.130,0.039,-0.737,-0.070,-0.671,-0.200,0.002,6092,0,-27,17,34,15.500,305,305,0,0,0
80678,0.157,0.341,-0.046,0.081,-0.890,0.024,0.042,-0.761,-0.080,-0.643,-0.200,0.003,5058,0,-31,29,34,15.500,305,305,0,0,0
80778,0.123,0.522,-0.059,0.023,-0.872,0.047,0.042,-0.789,-0.080,-0.607,-0.200,0.004,4637,0,-30,30,34,15.500,305,305,0,0,0
