Timestamp,r_ref,q_ref,curr_ax,curr_roll_rate,curr_pitch_rate,curr_yaw_rate,curr_qw,curr_qx,curr_qy,curr_qz,thrust_ref,p_ref,omega_L_ref,omega_R_ref,servo_L_ref,servo_R_ref,Temperature,Voltage,RPM2,RPM4,Throttle2,Throttle4,ErrorCodes
85746,-1.082,0.214,-0.139,-0.243,-0.640,0.736,0.199,-0.725,-0.102,-0.652,0.000,-0.008,0,12247,-15,21,0,0.000,0,0,0,0,0
85846,-1.092,0.366,-0.016,0.128,-0.393,-0.641,0.196,-0.741,-0.106,-0.633,0.000,-0.012,0,8039,-18,8,0,0.000,0,0,0,0,0
85946,-0.228,0.343,-0.123,0.452,0.630,-1.808,0.166,-0.728,-0.162,-0.645,0.000,-0.002,12247,0,6,-30,0,0.000,0,0,0,0,0
86046,0.759,0.083,-0.375,-0.041,0.503,-0.794,0.135,-0.684,-0.214,-0.684,0.000,0.000,12247,0,13,-2,0,0.000,0,0,0,0,0
86146,0.370,0.166,-0.527,0.031,-0.407,1.586,0.149,-0.700,-0.194,-0.671,0.000,0.001,0,11029,-16,13,0,0.000,305,305,0,0,0
86246,-0.784,0.097,-0.475,0.691,0.456,1.303,0.220,-0.703,-0.149,-0.660,0.000,-0.004,0,12247,-5,-32,0,0.000,305,305,0,0,0
86346,-1.003,0.080,-0.315,0.682,-0.484,-0.367,0.254,-0.698,-0.162,-0.650,0.000,-0.005,0,9219,-32,3,0,0.000,305,305,0,0,0
86446,-0.613,0.077,-0.104,0.497,0.272,-0.581,0.253,-0.687,-0.201,-0.650,0.000,-0.002,0,4303,0,-20,0,0.000,305,305,0,0,0
86546,-0.294,-0.058,0.156,0.651,0.397,-0.461,0.263,-0.661,-0.230,-0.664,0.000,0.000,1915,0,-3,-27,0,0.000,305,305,0,0,0
86647,-0.033,-0.065,0.140,0.020,-0.390,-0.346,0.258,-0.654,-0.249,-0.667,0.000,0.000,4710,0,-9,15,0,0.000,305,305,0,0,0
